x;y;
-1.359200;0.847425;
-1.358850;0.846473;
-1.358500;0.845522;
-1.358150;0.844571;
-1.357800;0.843621;
-1.357450;0.842671;
-1.357100;0.841720;
-1.356750;0.840771;
-1.356400;0.839821;
-1.356050;0.838872;
-1.355700;0.837922;
-1.355350;0.836974;
-1.355000;0.836025;
-1.354650;0.835077;
-1.354300;0.834128;
-1.353950;0.833181;
-1.353600;0.832233;
-1.353250;0.831286;
-1.352900;0.830338;
-1.352550;0.829392;
-1.352200;0.828445;
-1.351850;0.827498;
-1.351500;0.826552;
-1.351150;0.825606;
-1.350800;0.824661;
-1.350450;0.823715;
-1.350100;0.822770;
-1.349750;0.821825;
-1.349400;0.820880;
-1.349050;0.819936;
-1.348700;0.818992;
-1.348350;0.818048;
-1.348000;0.817104;
-1.347650;0.816161;
-1.347300;0.815217;
-1.346950;0.814274;
-1.346600;0.813332;
-1.346250;0.812389;
-1.345900;0.811447;
-1.345550;0.810505;
-1.345200;0.809563;
-1.344850;0.808622;
-1.344500;0.807680;
-1.344150;0.806739;
-1.343800;0.805798;
-1.343450;0.804858;
-1.343100;0.803918;
-1.342750;0.802978;
-1.342400;0.802038;
-1.342050;0.801098;
-1.341700;0.800159;
-1.341350;0.799220;
-1.341000;0.798281;
-1.340650;0.797342;
-1.340300;0.796404;
-1.339950;0.795466;
-1.339600;0.794528;
-1.339250;0.793591;
-1.338900;0.792653;
-1.338550;0.791716;
-1.338200;0.790779;
-1.337850;0.789843;
-1.337500;0.788906;
-1.337150;0.787970;
-1.336800;0.787034;
-1.336450;0.786099;
-1.336100;0.785163;
-1.335750;0.784228;
-1.335400;0.783293;
-1.335050;0.782359;
-1.334700;0.781424;
-1.334350;0.780490;
-1.334000;0.779556;
-1.333650;0.778622;
-1.333300;0.777689;
-1.332950;0.776756;
-1.332600;0.775823;
-1.332250;0.774890;
-1.331900;0.773958;
-1.331550;0.773025;
-1.331200;0.772093;
-1.330850;0.771162;
-1.330500;0.770230;
-1.330150;0.769299;
-1.329800;0.768368;
-1.329450;0.767437;
-1.329100;0.766507;
-1.328750;0.765577;
-1.328400;0.764647;
-1.328050;0.763717;
-1.327700;0.762787;
-1.327350;0.761858;
-1.327000;0.760929;
-1.326650;0.760000;
-1.326300;0.759072;
-1.325950;0.758143;
-1.325600;0.757215;
-1.325250;0.756288;
-1.324900;0.755360;
-1.324550;0.754433;
-1.324200;0.753506;
-1.323850;0.752579;
-1.323500;0.751652;
-1.323150;0.750726;
-1.322800;0.749800;
-1.322450;0.748874;
-1.322100;0.747948;
-1.321750;0.747023;
-1.321400;0.746098;
-1.321050;0.745173;
-1.320700;0.744248;
-1.320350;0.743324;
-1.320000;0.742400;
-1.319650;0.741476;
-1.319300;0.740552;
-1.318950;0.739629;
-1.318600;0.738706;
-1.318250;0.737783;
-1.317900;0.736860;
-1.317550;0.735938;
-1.317200;0.735016;
-1.316850;0.734094;
-1.316500;0.733172;
-1.316150;0.732251;
-1.315800;0.731330;
-1.315450;0.730409;
-1.315100;0.729488;
-1.314750;0.728568;
-1.314400;0.727647;
-1.314050;0.726727;
-1.313700;0.725808;
-1.313350;0.724888;
-1.313000;0.723969;
-1.312650;0.723050;
-1.312300;0.722131;
-1.311950;0.721213;
-1.311600;0.720295;
-1.311250;0.719377;
-1.310900;0.718459;
-1.310550;0.717541;
-1.310200;0.716624;
-1.309850;0.715707;
-1.309500;0.714790;
-1.309150;0.713874;
-1.308800;0.712957;
-1.308450;0.712041;
-1.308100;0.711126;
-1.307750;0.710210;
-1.307400;0.709295;
-1.307050;0.708380;
-1.306700;0.707465;
-1.306350;0.706550;
-1.306000;0.705636;
-1.305650;0.704722;
-1.305300;0.703808;
-1.304950;0.702895;
-1.304600;0.701981;
-1.304250;0.701068;
-1.303900;0.700155;
-1.303550;0.699243;
-1.303200;0.698330;
-1.302850;0.697418;
-1.302500;0.696506;
-1.302150;0.695595;
-1.301800;0.694683;
-1.301450;0.693772;
-1.301100;0.692861;
-1.300750;0.691951;
-1.300400;0.691040;
-1.300050;0.690130;
-1.299700;0.689220;
-1.299350;0.688310;
-1.299000;0.687401;
-1.298650;0.686492;
-1.298300;0.685583;
-1.297950;0.684674;
-1.297600;0.683766;
-1.297250;0.682858;
-1.296900;0.681950;
-1.296550;0.681042;
-1.296200;0.680134;
-1.295850;0.679227;
-1.295500;0.678320;
-1.295150;0.677414;
-1.294800;0.676507;
-1.294450;0.675601;
-1.294100;0.674695;
-1.293750;0.673789;
-1.293400;0.672884;
-1.293050;0.671978;
-1.292700;0.671073;
-1.292350;0.670169;
-1.292000;0.669264;
-1.291650;0.668360;
-1.291300;0.667456;
-1.290950;0.666552;
-1.290600;0.665648;
-1.290250;0.664745;
-1.289900;0.663842;
-1.289550;0.662939;
-1.289200;0.662037;
-1.288850;0.661134;
-1.288500;0.660232;
-1.288150;0.659330;
-1.287800;0.658429;
-1.287450;0.657528;
-1.287100;0.656626;
-1.286750;0.655726;
-1.286400;0.654825;
-1.286050;0.653925;
-1.285700;0.653024;
-1.285350;0.652125;
-1.285000;0.651225;
-1.284650;0.650326;
-1.284300;0.649426;
-1.283950;0.648528;
-1.283600;0.647629;
-1.283250;0.646731;
-1.282900;0.645832;
-1.282550;0.644935;
-1.282200;0.644037;
-1.281850;0.643139;
-1.281500;0.642242;
-1.281150;0.641345;
-1.280800;0.640449;
-1.280450;0.639552;
-1.280100;0.638656;
-1.279750;0.637760;
-1.279400;0.636864;
-1.279050;0.635969;
-1.278700;0.635074;
-1.278350;0.634179;
-1.278000;0.633284;
-1.277650;0.632390;
-1.277300;0.631495;
-1.276950;0.630601;
-1.276600;0.629708;
-1.276250;0.628814;
-1.275900;0.627921;
-1.275550;0.627028;
-1.275200;0.626135;
-1.274850;0.625243;
-1.274500;0.624350;
-1.274150;0.623458;
-1.273800;0.622566;
-1.273450;0.621675;
-1.273100;0.620784;
-1.272750;0.619893;
-1.272400;0.619002;
-1.272050;0.618111;
-1.271700;0.617221;
-1.271350;0.616331;
-1.271000;0.615441;
-1.270650;0.614551;
-1.270300;0.613662;
-1.269950;0.612773;
-1.269600;0.611884;
-1.269250;0.610996;
-1.268900;0.610107;
-1.268550;0.609219;
-1.268200;0.608331;
-1.267850;0.607444;
-1.267500;0.606556;
-1.267150;0.605669;
-1.266800;0.604782;
-1.266450;0.603896;
-1.266100;0.603009;
-1.265750;0.602123;
-1.265400;0.601237;
-1.265050;0.600352;
-1.264700;0.599466;
-1.264350;0.598581;
-1.264000;0.597696;
-1.263650;0.596811;
-1.263300;0.595927;
-1.262950;0.595043;
-1.262600;0.594159;
-1.262250;0.593275;
-1.261900;0.592392;
-1.261550;0.591508;
-1.261200;0.590625;
-1.260850;0.589743;
-1.260500;0.588860;
-1.260150;0.587978;
-1.259800;0.587096;
-1.259450;0.586214;
-1.259100;0.585333;
-1.258750;0.584452;
-1.258400;0.583571;
-1.258050;0.582690;
-1.257700;0.581809;
-1.257350;0.580929;
-1.257000;0.580049;
-1.256650;0.579169;
-1.256300;0.578290;
-1.255950;0.577410;
-1.255600;0.576531;
-1.255250;0.575653;
-1.254900;0.574774;
-1.254550;0.573896;
-1.254200;0.573018;
-1.253850;0.572140;
-1.253500;0.571262;
-1.253150;0.570385;
-1.252800;0.569508;
-1.252450;0.568631;
-1.252100;0.567754;
-1.251750;0.566878;
-1.251400;0.566002;
